Complaint_No,Weapon_Type
20110111171503,"Personal Weapons (hands,feet,teeth,etc.)"
20110111174100,"Personal Weapons (hands,feet,teeth,etc.)"
20110111190200,"Personal Weapons (hands,feet,teeth,etc.)"
20110111192601,Not Applicable/None                     
20110111193400,Not Applicable/None                     
20110111211900,"Personal Weapons (hands,feet,teeth,etc.)"
20110111231400,"Personal Weapons (hands,feet,teeth,etc.)"
20110112001804,"Personal Weapons (hands,feet,teeth,etc.)"
20110112002602,"Personal Weapons (hands,feet,teeth,etc.)"
20110112024901,Other Weapon                            
20110112024901,"Personal Weapons (hands,feet,teeth,etc.)"
20110112085002,Handgun                                 
20110112085900,Knife                                   
20110112092901,"Personal Weapons (hands,feet,teeth,etc.)"
20110112103705,"Personal Weapons (hands,feet,teeth,etc.)"
20110112131302,Handgun                                 
20110112132005,"Personal Weapons (hands,feet,teeth,etc.)"
20110112153201,"Personal Weapons (hands,feet,teeth,etc.)"
20110112170601,Handgun                                 
20110112173000,Handgun                                 
20110112175901,Handgun                                 
20110112181101,"Personal Weapons (hands,feet,teeth,etc.)"
20110112191601,"Personal Weapons (hands,feet,teeth,etc.)"
20110112201504,"Personal Weapons (hands,feet,teeth,etc.)"
20110112212102,Handgun                                 
20110112212502,"Personal Weapons (hands,feet,teeth,etc.)"
20110112220600,Handgun                                 
20110112222100,"Personal Weapons (hands,feet,teeth,etc.)"
20110112222603,"Personal Weapons (hands,feet,teeth,etc.)"
20110112232206,"Personal Weapons (hands,feet,teeth,etc.)"
20110112232500,"Personal Weapons (hands,feet,teeth,etc.)"
20110112234505,"Personal Weapons (hands,feet,teeth,etc.)"
20110113001610,Handgun                                 
20110113010000,"Personal Weapons (hands,feet,teeth,etc.)"
20110113020302,Knife                                   
20110113040103,"Blunt Object(club,hammer,etc)           "
20110113142400,Handgun                                 
20110113142501,"Personal Weapons (hands,feet,teeth,etc.)"
20110113144304,"Personal Weapons (hands,feet,teeth,etc.)"
20110113144306,"Personal Weapons (hands,feet,teeth,etc.)"
20110113145701,"Personal Weapons (hands,feet,teeth,etc.)"
20110113152006,"Personal Weapons (hands,feet,teeth,etc.)"
20110113152102,"Personal Weapons (hands,feet,teeth,etc.)"
