Street_Address,Zipcode,X_Coordinate,Y_Coordinate,NIBRS_Hi_Class,HighRisk
   YATESWOOD                                DR,28212-1904  ,1482655,532829,Motor Vehicle Theft,0
   CHASEWOOD                                DR,28212,1476533,518689,Motor Vehicle Theft,0
   GLENBRIER                                DR,28212,1475053,530863,Motor Vehicle Theft,0
   PINESTREAM                               DR,28216,1448180,558469,Motor Vehicle Theft,0
   FARTHINGTON                              CR,28217,1436821,514087,Motor Vehicle Theft,0
   FARMER                                   ST,28208,1433958,536241,Motor Vehicle Theft,0
   OLDE JUSTIN                              PL,28262,1467678,570858,Motor Vehicle Theft,0
   JOHN PRICE                               RD,28273,1415690,506236,Motor Vehicle Theft,0
   MONROE                                   RD,28212,1474890,523587,Motor Vehicle Theft,0
   SANTEELAH                                CT,28217,1433725,521898,Motor Vehicle Theft,0
   MEREVIEW                                 CT,28210,1440542,504493,Motor Vehicle Theft,0
S  HOSKINS                                  RD,28208,1437043,556253,Motor Vehicle Theft,0
   CANDLEWOOD                               DR,28210,1440433,512698,Motor Vehicle Theft,0
S  I-85                                     HY,28269,1479913,580792,Motor Vehicle Theft,0
   NUTCRACKER                               PL,28212,1478873,526930,Motor Vehicle Theft,0
   SOUTH                                    BV,28217,1439315,515667,Motor Vehicle Theft,0
   WOODY RIDGE                              RD,28273,1430950,505871,Motor Vehicle Theft,0
   OSPREY WATCH                             CT,28227,1491492,530986,Motor Vehicle Theft,0
E  W T HARRIS                               BV,28212,1484382,531309,Motor Vehicle Theft,0
   WHEATSIDE                                DR,28262,1489435,573927,Motor Vehicle Theft,0
W  4TH                                      ST,28202,1448585,543106,Motor Vehicle Theft,0
   YAGER CREEK                              DR,28273,1424035,512718,Motor Vehicle Theft,0
   WILKINSON                                BV,28208,1433809,542568,Motor Vehicle Theft,0
   BLACKHAWK                                RD,28213,1471403,559223,Motor Vehicle Theft,0
   BENNETTSVILLE                            LN,28262,1463431,569575,Motor Vehicle Theft,0
   KINGSPARK                                DR,28208,1434955,539940,Motor Vehicle Theft,0
   IVY MEADOW                               DR,28213,1484063,565271,Motor Vehicle Theft,0
   BIRCHCREST                               DR,28205,1473563,539004,Motor Vehicle Theft,0
   LIONS MANE                               ST,28273,1411708,501798,Motor Vehicle Theft,0
   GERALDINE POWE                           DR,28206,1450875,550014,Motor Vehicle Theft,0
   DUNLAVIN                                 WY,28205,1469027,541518,Motor Vehicle Theft,0
E  9TH                                      ST,28202,1452197,543226,Motor Vehicle Theft,0
   BROWNS                                   AV,28208,1431512,551191,Motor Vehicle Theft,0
   OLD MT HOLLY                             RD,28214,1424302,562053,Motor Vehicle Theft,0
   WOODSEDGE                                DR,28216,1444150,586117,Motor Vehicle Theft,0
   HAWTHORNE                                LN,28204,1455150,537097,Motor Vehicle Theft,0
   SOUTHERN LOOP                            BV,28134,1430166,501703,Motor Vehicle Theft,0
   SHIP                                     ST,28269,1467869,577316,Motor Vehicle Theft,0
   ELLA JANE                                LN,28217,1423736,515233,Motor Vehicle Theft,0
   MINNESOTA                                RD,28208,1434673,545904,Motor Vehicle Theft,0
